None,mean_mz,mean_RT,mean_mz_round,profile_number_peaks,mean_above_blind_intens,target_matches,Ufid_1,Ufid_2,ISTD_matches,2021-11-29,2021-12-14,2022-01-05,2022-01-20,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-02-04,2022-02-19,2022-03-06,2022-03-21,2022-04-05,2022-04-20,2022-05-05,2022-05-20,2022-06-04,2022-06-19,2022-07-04,2022-07-19,2022-08-03,2022-08-18,2022-09-02
95,101.059657066392,260.0,101.06,12,inf,,101.06_260.0,101_260.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9647.124053844858,0.0,3675.8448065429875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,101.072618189637,564.0,101.07,8,inf,,101.07_564.0,101_564.0,,0.0,8280.313024800642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2679.7406391752706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,101.081931033027,276.0,101.08,4,inf,,101.08_276.0,101_276.0,,0.0,0.0,0.0,0.0,1096.9922665031709,0.0,0.0,0.0,602.1883916160083,0.0,0.0,0.0,666.0306043938416,0.0,0.0,0.0,0.0,821.6194764401666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,101.081877925822,319.0,101.08,7,inf,,101.08_319.0,101_319.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.6758006849625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.9679437872335,0.0,0.0,2222.6056724335,0.0,0.0,0.0,0.0,0.0
109,101.081874363818,232.0,101.08,9,inf,,101.08_232.0,101_232.0,,0.0,0.0,0.0,0.0,4016.0369352168746,0.0,0.0,0.0,0.0,0.0,1578.9589766721874,630.4507119471917,1220.80118195725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,101.081875106795,203.0,101.08,5,inf,,101.08_203.0,101_203.0,,0.0,0.0,0.0,0.0,1955.4503963413583,0.0,0.0,0.0,0.0,0.0,877.8935681844167,1498.2041025711708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,101.949843700244,269.0,101.95,21,inf,,101.95_269.0,101_269.0,,0.0,2346.055577879983,0.0,0.0,0.0,3409.6354502318004,0.0,0.0,4426.7399579664125,0.0,0.0,0.0,3334.799264316871,5398.692350354904,9804.9589512794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,101.94984938877,311.0,101.95,8,inf,,101.95_311.0,101_311.0,,0.0,0.0,0.0,0.0,0.0,1613.6796509450376,0.0,0.0,2662.6039561469834,0.0,0.0,0.0,3390.4054842523997,0.0,1132.1419014396624,5871.558294957521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,101.984193735445,328.0,101.98,7,inf,,101.98_328.0,101_328.0,,1846.7284346050126,0.0,0.0,0.0,2277.2600920332043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.4666083991959,0.0,0.0,0.0,0.0,2465.1999438298794,0.0,0.0,0.0,0.0,2035.74899420555,0.0,0.0,0.0
134,101.984180815558,274.0,101.98,56,inf,,101.98_274.0,101_274.0,,420.42324249124164,2446.0312181886748,0.0,0.0,30958.26383368071,2735.6838628404626,1019.2000063486458,0.0,0.0,0.0,0.0,0.0,3437.9389542115828,0.0,6086.223569232975,1978.1754225053458,1970.143604147279,12462.542089271687,0.0,0.0,0.0,7467.694154172776,7604.089180071842,5565.921773272934,3956.869362130175,4271.557627490954
135,101.984184575612,309.0,101.98,45,inf,,101.98_309.0,101_309.0,,2879.276985263379,1412.0483322247292,0.0,0.0,21831.362320524626,6582.356884858763,6697.349702228038,0.0,0.0,0.0,0.0,0.0,739.41977510265,0.0,4503.720695821471,2701.850734962367,2021.578747243096,3778.3922449417582,0.0,0.0,0.0,3076.3025414466997,3385.7508750119123,0.0,4107.757719728567,4240.609530421175
139,102.021702875176,238.0,102.02,4,inf,,102.02_238.0,102_238.0,,0.0,0.0,0.0,0.0,0.0,806.5084967467209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6174.863605615404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,102.033759165329,511.0,102.03,20,inf,,102.03_511.0,102_511.0,,2528.350243804008,0.0,0.0,17057.96717349421,0.0,88950.24359309346,0.0,123992.66548806382,24325.905042217793,9416.58237425575,0.0,0.0,0.0,0.0,0.0,21059.26053653954,0.0,0.0,39185.236348915954,0.0,0.0,31290.42246006754,99224.68841163396,0.0,0.0,19431.197947746794
143,102.033798655203,772.0,102.03,17,inf,,102.03_772.0,102_772.0,,0.0,26165.613873069746,0.0,54771.82875334008,0.0,209677.08640257665,0.0,0.0,0.0,0.0,42245.97545960542,22814.01941268808,0.0,36818.253653293126,67606.85826629346,0.0,0.0,0.0,0.0,390020.28007818083,0.0,0.0,0.0,0.0,0.0,56811.13771037083
145,102.03378672287,598.0,102.03,10,inf,,102.03_598.0,102_598.0,,0.0,0.0,8786.027177176542,0.0,0.0,0.0,0.0,0.0,76445.48724312824,0.0,0.0,0.0,0.0,0.0,16097.517851823335,0.0,0.0,0.0,87687.30016332112,0.0,0.0,36031.57306739346,0.0,0.0,0.0,18332.71072180525
148,102.033807318312,419.0,102.03,6,inf,,102.03_419.0,102_419.0,,3874.0733096066124,0.0,0.0,11555.385621103793,0.0,15050.060230592293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60978.78730978138,0.0,0.0,0.0,36332.758202168254,0.0,0.0
149,102.033798759458,660.0,102.03,22,inf,,102.03_660.0,102_660.0,,0.0,0.0,14990.107209048001,0.0,0.0,54185.408390837336,95115.05753920418,54294.81530514775,23988.809012477166,0.0,31468.88509185512,0.0,0.0,24471.371625357293,111798.91238617786,0.0,0.0,0.0,49084.97272234875,0.0,18061.29513585858,0.0,0.0,0.0,0.0,0.0
151,102.033806622378,396.0,102.03,7,inf,,102.03_396.0,102_396.0,,3062.2685990435584,0.0,0.0,13282.20418602408,0.0,77231.18022120366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65371.85582840375,0.0,0.0,0.0,0.0,0.0,0.0
153,102.033798584013,451.0,102.03,13,inf,,102.03_451.0,102_451.0,,0.0,0.0,0.0,6249.467203214042,0.0,76884.95299752838,0.0,124270.20796549709,0.0,24831.521591478162,31463.358514014002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68506.44225970392,0.0,58650.29503683833,0.0,0.0,0.0,0.0
155,102.033810022797,629.0,102.03,36,inf,,102.03_629.0,102_629.0,,0.0,0.0,10190.350339438124,9407.2025359485,107758.09806252304,13290.033072739832,176743.81330548922,79143.18549332954,182398.83649446734,0.0,62980.212564064626,13013.898919790709,0.0,24974.36867899817,138059.6178251501,0.0,0.0,0.0,540411.4334958821,0.0,0.0,143855.07599103835,25833.459566775793,0.0,0.0,0.0
156,102.03377020863,796.0,102.03,4,inf,,102.03_796.0,102_796.0,,0.0,0.0,0.0,6027.419041072291,0.0,56734.88839600667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65168.23973934096,0.0,0.0,0.0,0.0,0.0,0.0
157,102.033805096239,481.0,102.03,12,inf,,102.03_481.0,102_481.0,,0.0,0.0,0.0,0.0,0.0,27976.87258786029,0.0,0.0,0.0,41549.1911681953,67245.92977525767,0.0,0.0,0.0,0.0,45999.3271898923,0.0,0.0,0.0,64293.568099688746,0.0,47978.004570362915,0.0,89366.3440147285,0.0,0.0
159,102.054922158507,364.0,102.05,129,inf,,102.05_364.0,102_364.0,,6329.578040566804,0.0,2466.538158735408,3296.0067887396253,4869.88919815405,10873.26613308938,12183.675847308712,15350.841689408377,7976.246547436932,10723.786690758947,16089.99619470616,5120.029410398842,0.0,9038.704138190087,0.0,2418.7574922363706,4244.566008879355,8585.58735606653,0.0,6116.888575875387,3430.1879447776373,0.0,3731.798471276008,3454.704081362879,7040.986460131241,2359.4433616031206
169,102.082319177654,566.0,102.08,8,inf,,102.08_566.0,102_566.0,,0.0,0.0,0.0,1729.3721767463876,0.0,0.0,1558.5001798999667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2375.2176216058874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,102.079922635771,406.0,102.08,6,inf,,102.08_406.0,102_406.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.3839365182625,4144.777435918158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,102.127696532607,280.0,102.13,9,inf,,102.13_280.0,102_280.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10707.96296896893,0.0,0.0,0.0,0.0,0.0,14290.378386006269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,102.535471569672,741.0,102.54,13,inf,,102.54_741.0,102_741.0,,0.0,0.0,0.0,1393.3875960856876,0.0,4836.190141133833,0.0,1794.8204853557875,0.0,0.0,0.0,10548.414866457666,2944.725985208579,16134.742747926013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3998.189285088079,0.0,3502.882574048683,0.0
182,102.53549947297,316.0,102.54,4,inf,,102.54_316.0,102_316.0,,0.0,0.0,0.0,0.0,8709.867013286888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.1233575021708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,102.552648366572,314.0,102.55,5,inf,,102.55_314.0,102_314.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.5152889783253,0.0,1279.7637917502125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,102.970239818766,280.0,102.97,8,inf,,102.97_280.0,102_280.0,,0.0,13123.886897149396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6246.2099320668785,0.0,0.0,30445.600760691206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,102.970273410715,264.0,102.97,13,inf,,102.97_264.0,102_264.0,,0.0,6127.667614150276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13008.663512018946,0.0,0.0,56484.57212932342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
